team,ortg,drtg,pace,goose
Duke,128.3,87.8,65.4,-0.61
Washington,116.9,101.9,67.2,5.66
Villanova,121.0,99.9,65.2,0.11
TCU,115.6,98.0,67.4,1.61
Nebraska,119.3,92.3,66.9,-13.07
Seton Hall,110.4,95.0,65.0,-0.39
Texas Tech,126.2,100.0,66.2,-2.68
Stanford,117.3,103.9,66.8,4.63
Saint Louis,119.9,101.3,71.0,3.58
Baylor,123.0,107.1,67.8,-14.45
Purdue,130.5,101.1,64.9,-2.67
Tulsa,122.3,108.3,67.9,5.66
Texas,125.0,106.0,66.9,-4.46
Boise St.,117.0,103.9,65.8,4.67
Michigan St.,122.7,93.8,65.9,-4.50
UCF,121.1,105.8,69.3,-14.45
Michigan,128.5,89.2,71.5,0.42
Northwestern,117.5,103.9,65.2,5.66
Iowa,121.7,99.1,63.1,-14.14
Cincinnati,111.3,93.8,67.5,-7.26
Vanderbilt,125.6,99.1,69.5,2.04
Saint Mary's,120.5,97.4,65.2,-13.13
North Carolina,121.4,100.4,67.8,4.31
Virginia Tech,117.4,103.8,67.0,5.40
BYU,126.1,102.9,69.8,-12.61
Auburn,125.3,106.1,67.2,-14.53
Arkansas,127.9,102.0,71.1,3.35
New Mexico,117.3,101.4,70.0,5.66
Santa Clara,123.8,104.4,69.2,-3.06
Florida St.,117.9,105.1,70.5,4.81
Iowa St.,123.1,91.9,66.7,2.93
Connecticut,122.7,94.4,64.9,5.66
Arizona,126.7,89.3,70.1,2.05
N.C. State,124.3,104.7,69.0,5.66
Clemson,116.4,97.2,64.0,1.67
Utah St.,122.9,103.4,67.6,-11.02
Wisconsin,125.3,102.7,69.0,4.53
SMU,123.2,105.0,68.6,3.25
Alabama,129.7,103.5,73.0,-11.30
West Virginia,110.1,96.9,62.3,2.73
UCLA,123.8,102.6,64.4,2.60
VCU,120.1,103.3,69.0,3.70
St. John's,119.8,95.3,69.7,3.25
Akron,120.7,107.2,70.6,5.66
Louisville,124.7,98.7,69.8,-9.15
Indiana,120.5,103.4,66.1,5.53
Illinois,131.7,99.0,65.5,2.29
Georgia,125.8,104.7,71.2,5.66
Florida,126.4,91.0,70.8,4.25
Miami FL,121.7,100.5,67.8,5.66
Kentucky,121.5,100.2,68.2,4.16
South Florida,117.7,102.4,71.6,5.66
Virginia,121.6,96.3,65.8,2.83
Oklahoma,124.1,107.0,66.4,5.20
Kansas,119.4,94.0,67.5,2.80
San Diego St.,114.8,98.2,68.9,5.56
Tennessee,121.4,95.3,65.2,-13.79
Missouri,119.7,104.3,66.1,5.66
Gonzaga,122.1,93.9,68.6,-8.55
Grand Canyon,110.7,97.2,67.8,3.86
Texas A&M,120.5,100.7,70.6,5.10
Ohio St.,124.3,102.6,66.3,2.54
Houston,125.0,92.5,63.3,2.11
LSU,119.8,106.6,66.6,5.66
