team,ortg,drtg,pace
Duke,128.0,89.1,65.4
Arizona,127.6,90.0,69.8
Michigan,126.6,89.0,71.0
Florida,125.5,91.8,70.6
Houston,124.8,91.5,63.3
Iowa St.,123.8,91.4,66.6
Illinois,131.2,99.1,65.6
Purdue,131.6,100.5,64.4
Michigan St.,123.0,94.7,66.1
Gonzaga,122.1,93.9,68.6
UConn,122.0,94.2,64.5
Vanderbilt,126.8,99.3,68.9
Virginia,122.6,95.9,65.8
Arkansas,127.7,101.6,71.0
Nebraska,118.5,92.4,66.8
Tennessee,121.0,95.1,65.0
St. John's,120.0,94.2,69.6
Alabama,129.0,103.3,73.1
Louisville,124.0,98.7,69.7
Texas Tech,125.0,99.9,66.2
Kansas,118.3,93.9,67.7
Wisconsin,125.3,102.0,68.8
BYU,125.4,102.2,70.0
Saint Mary's,120.4,97.2,65.2
Iowa,121.7,99.3,63.0
Ohio St.,124.3,102.1,66.1
UCLA,123.7,102.1,64.7
Kentucky,120.5,99.1,68.4
North Carolina,121.4,100.6,68.0
Utah St.,122.2,101.4,67.7
Miami (FL),121.4,100.7,67.6
Georgia,124.7,104.3,71.4
Villanova,120.4,100.4,65.2
NC State,123.2,103.7,69.1
Santa Clara,123.7,104.2,69.2
Clemson,116.5,97.3,64.3
Texas,124.2,105.0,66.9
Texas A&M,119.7,101.1,70.5
Saint Louis,119.5,101.2,71.0
SMU,122.9,104.8,68.6
TCU,115.3,97.8,67.7
VCU,119.9,102.7,68.5
South Florida,117.3,101.0,71.5
Missouri,119.5,104.1,66.2
UCF,120.4,105.4,69.2
Akron,118.8,106.1,70.3
McNeese,114.3,101.8,66.2
Northern Iowa,110.0,98.2,62.3
Hofstra,114.6,105.1,64.7
High Point,117.0,108.6,69.9
Miami (Ohio),116.8,108.5,70.0
Cal Baptist,107.9,101.9,65.8
Hawaii,107.1,101.2,69.7
North Dakota St.,111.7,106.7,66.3
Wright St.,112.1,110.0,67.2
Troy,110.8,109.0,64.9
Idaho,108.8,107.3,67.8
Penn,107.3,106.0,69.1
Kennesaw St.,110.7,110.0,71.2
Queens (N.C.),115.8,117.2,69.6
Tennessee St.,109.1,110.9,70.2
UMBC,108.8,110.7,66.3
Furman,107.5,109.4,65.9
Siena,107.1,109.3,64.7
Howard,104.1,107.0,69.1
Long Island,105.6,109.6,67.8
Lehigh,102.7,113.1,66.9
Prairie View A&M,101.2,111.9,71.0
